CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,BLKADDR,City,State,Latitude,Longitude
15059329,BURGLARY RESIDENTIAL,42285,0.229166667,BURGLARY - RESIDENTIAL,4,42287.146,1000 PAGE ST,Berkeley,CA,37.877148,-122.296932
15091844,BURGLARY AUTO,42285,0.364583333,BURGLARY - VEHICLE,4,42287.146,2500 PIEDMONT AVE,Berkeley,CA,37.865868,-122.251595
15059326,THEFT MISD. (UNDER $950),42285,0.147222222,LARCENY,4,42287.146,2100 FIFTH ST,Berkeley,CA,37.866259,-122.298334
15059125,ASSAULT/BATTERY FEL.,42284,0.041666667,ASSAULT,3,42287.14598,2400 DURANT AVE,Berkeley,CA,37.867513,-122.26127
15059137,BURGLARY COMMERCIAL,42284,0.15,BURGLARY - COMMERCIAL,3,42287.146,1700 FOURTH ST,Berkeley,CA,37.871306,-122.301072
15059124,ROBBERY,42284,0.034722222,ROBBERY,3,42287.14598,2100 MILVIA ST,Berkeley,CA,37.870584,-122.27061
15059280,MISSING ADULT,42284,0.395833333,MISSING PERSON,3,42287.146,2100 ASHBY AVE,Berkeley,CA,37.855267,-122.266696
15059199,BURGLARY AUTO,42284,0.416666667,BURGLARY - VEHICLE,3,42287.146,100 SEAWALL DR,Berkeley,CA,37.863045,-122.317348
15059194,DISTURBANCE,42284,0.5,DISORDERLY CONDUCT,3,42287.146,2700 SACRAMENTO ST,Berkeley,CA,37.858433,-122.280183
15091843,THEFT MISD. (UNDER $950),42284,0.465277778,LARCENY,3,42287.146,2500 DANA ST,Berkeley,CA,37.864679,-122.260688
15059213,THEFT MISD. (UNDER $950),42284,0.609722222,LARCENY,3,42287.146,900 HEINZ AVE,Berkeley,CA,37.853552,-122.291561
15059184,DISTURBANCE,42284,0.477083333,DISORDERLY CONDUCT,3,42287.146,3100 CLAREMONT AVE,Berkeley,CA,37.854002,-122.248587
15059181,MUNICIPAL CODE,42284,0.474305556,ALL OTHER OFFENSES,3,42287.146,2000 SAN PABLO AVE,Berkeley,CA,37.869041,-122.292204
15059196,ASSAULT/BATTERY MISD.,42284,0.509722222,ASSAULT,3,42287.146,2300 TELEGRAPH AVE,Berkeley,CA,37.868714,-122.259189
15091839,THEFT MISD. (UNDER $950),42283,0.875,LARCENY,2,42287.146,1700 GRANT ST,Berkeley,CA,37.875707,-122.275816
15059142,VEHICLE STOLEN,42283,0.854166667,MOTOR VEHICLE THEFT,2,42287.14598,1000 KEELER AVE,Berkeley,CA,37.893954,-122.260697
15059029,THEFT MISD. (UNDER $950),42283,0.4375,LARCENY,2,42287.146,1400 STANNAGE AVE,Berkeley,CA,37.878935,-122.293437
15059116,HOMICIDE,42283,0.85625,HOMICIDE,2,42287.14598,1600 RUSSELL ST,Berkeley,CA,37.85525,-122.277126
15091838,THEFT MISD. (UNDER $950),42283,0.909722222,LARCENY,2,42287.146,1700 GRANT ST,Berkeley,CA,37.875707,-122.275816
15058974,BURGLARY AUTO,42283,0.327777778,BURGLARY - VEHICLE,2,42287.14598,1600 TENTH ST,Berkeley,CA,37.874979,-122.29528
15059100,THEFT MISD. (UNDER $950),42283,0.631944444,LARCENY,2,42287.146,2000 ALLSTON WAY,Berkeley,CA,37.869057,-122.270463
15059025,DISTURBANCE,42283,0.557638889,DISORDERLY CONDUCT,2,42287.146,2500 HASTE ST,Berkeley,CA,37.866025,-122.258623
15059158,BURGLARY COMMERCIAL,42283,0.729166667,BURGLARY - COMMERCIAL,2,42287.146,1500 LE ROY AVE,Berkeley,CA,37.881885,-122.260433
15059105,THEFT MISD. (UNDER $950),42283,0.708333333,LARCENY,2,42287.146,2000 ALLSTON WAY,Berkeley,CA,37.869057,-122.270463
15091837,BURGLARY AUTO,42283,0,BURGLARY - VEHICLE,2,42287.146,1300 HARMON ST,Berkeley,CA,37.848357,-122.281521
15059005,BURGLARY AUTO,42283,0.333333333,BURGLARY - VEHICLE,2,42287.146,2900 CLAREMONT AVE,Berkeley,CA,37.858993,-122.244574
15059121,SEXUAL ASSAULT MISD.,42283,0.970833333,SEX CRIME,2,42287.14598,1300 SHATTUCK AVE,Berkeley,CA,37.88362,-122.269734
15058981,ROBBERY,42283,0.398611111,ROBBERY,2,42287.14598,ALCATRAZ AVENUE & KING ST,Berkeley,CA,37.848453,-122.273607
15059112,THEFT MISD. (UNDER $950),42283,0.819444444,LARCENY,2,42287.146,2300 SHATTUCK AVE,Berkeley,CA,37.867157,-122.2678
15059060,DOMESTIC VIOLENCE,42283,0.659722222,FAMILY OFFENSE,2,42287.14598,2900 STANTON ST,Berkeley,CA,37.854747,-122.280361
15058998,ASSAULT/BATTERY FEL.,42283,0.479166667,ASSAULT,2,42287.14598,ADDISON STREET & SECOND ST,Berkeley,CA,37.86581,-122.301707
15058983,ASSAULT/BATTERY MISD.,42283,0.4125,ASSAULT,2,42287.14598,DURANT AVENUE & DANA ST,Berkeley,CA,37.867513,-122.26127
15059034,ASSAULT/BATTERY FEL.,42283,0.583333333,ASSAULT,2,42287.14598,1500 BLAKE ST,Berkeley,CA,37.86139,-122.280449
15059163,VEHICLE STOLEN,42283,0.833333333,MOTOR VEHICLE THEFT,2,42287.14598,1200 BURNETT ST,Berkeley,CA,37.853008,-122.286877
15059109,DISTURBANCE,42283,0.801388889,DISORDERLY CONDUCT,2,42287.146,SHATTUCK AVENUE & ROSE ST,Berkeley,CA,37.88205,-122.269454
15059221,BURGLARY RESIDENTIAL,42283,0.8125,BURGLARY - RESIDENTIAL,2,42287.146,200 FAIRLAWN DR,Berkeley,CA,37.884779,-122.250288
15058936,THEFT FROM AUTO,42283,0.013888889,LARCENY - FROM VEHICLE,2,42287.14598,1500 BEVERLY PL,Berkeley,CA,37.886247,-122.283606
15058892,BURGLARY AUTO,42282,0.848611111,BURGLARY - VEHICLE,1,42287.14598,1300 SAN PABLO AVE,Berkeley,CA,37.880229,-122.295798
15058946,THEFT FROM AUTO,42282,0.916666667,LARCENY - FROM VEHICLE,1,42287.14598,1200 ORDWAY ST,Berkeley,CA,37.881602,-122.286332
15058802,ALCOHOL OFFENSE,42282,0.477777778,LIQUOR LAW VIOLATION,1,42287.14598,1400 SHATTUCK AVE,Berkeley,CA,37.88192,-122.269544
15058957,BURGLARY RESIDENTIAL,42282,0.791666667,BURGLARY - RESIDENTIAL,1,42287.146,600 SANTA BARBARA RD,Berkeley,CA,37.899594,-122.273671
15058966,VEHICLE STOLEN,42282,0.520833333,MOTOR VEHICLE THEFT,1,42287.14598,1500 CARLETON ST,Berkeley,CA,37.859614,-122.280268
15058748,BURGLARY AUTO,42282,0.09375,BURGLARY - VEHICLE,1,42287.14598,VINCENTE AVENUE & PERALTA AVE,Berkeley,CA,37.893457,-122.285624
15058848,FRAUD/FORGERY,42282,0.663194444,FRAUD,1,42287.14598,2200 SHATTUCK AVE,Berkeley,CA,37.869363,-122.268028
15059083,THEFT MISD. (UNDER $950),42282,0.5,LARCENY,1,42287.14598,2300 SHATTUCK AVE,Berkeley,CA,37.867157,-122.2678
15058819,DOMESTIC VIOLENCE,42282,0.520833333,FAMILY OFFENSE,1,42287.14598,900 FOLGER AVE,Berkeley,CA,37.850091,-122.290607
15091834,THEFT MISD. (UNDER $950),42282,0.940972222,LARCENY,1,42287.146,800 SAN DIEGO RD,Berkeley,CA,37.894536,-122.272056
15059395,THEFT MISD. (UNDER $950),42282,0.822916667,LARCENY,1,42287.146,2300 BROWNING ST,Berkeley,CA,37.864808,-122.287576
15058808,DISTURBANCE,42282,0.4375,DISORDERLY CONDUCT,1,42287.14598,2400 ASHBY AVE,Berkeley,CA,37.856111,-122.260248
15058881,BURGLARY COMMERCIAL,42282,0.756944444,BURGLARY - COMMERCIAL,1,42287.14598,1800 FOURTH ST,Berkeley,CA,37.869888,-122.300618
15058815,BURGLARY AUTO,42282,0.513888889,BURGLARY - VEHICLE,1,42287.14598,1900 CEDAR ST,Berkeley,CA,37.877862,-122.273408
15058784,VEHICLE STOLEN,42281,0.770833333,MOTOR VEHICLE THEFT,0,42287.14598,1600 FAIRVIEW ST,Berkeley,CA,37.850001,-122.275963
15058871,BURGLARY RESIDENTIAL,42281,0.125,BURGLARY - RESIDENTIAL,0,42287.14598,800 SAN DIEGO RD,Berkeley,CA,37.894536,-122.272056
15058576,IDENTITY THEFT,42281,0.140277778,FRAUD,0,42287.14598,RUSSELL STREET & HARPER ST,Berkeley,CA,37.855982,-122.272388
15058853,THEFT MISD. (UNDER $950),42281,0.75,LARCENY,0,42287.14598,2100 BLAKE ST,Berkeley,CA,37.86316,-122.26655
15058667,DOMESTIC VIOLENCE,42281,0.75,FAMILY OFFENSE,0,42287.14598,1000 JONES ST,Berkeley,CA,37.875957,-122.296546
15058643,DISTURBANCE,42281,0.604166667,DISORDERLY CONDUCT,0,42287.14598,1800 SIXTH ST,Berkeley,CA,37.870255,-122.298419
15058589,ASSAULT/BATTERY MISD.,42281,0.332638889,ASSAULT,0,42287.14598,1900 SHATTUCK AVE,Berkeley,CA,37.873687,-122.268616
15091824,THEFT MISD. (UNDER $950),42281,0.430555556,LARCENY,0,42287.146,1800 NINTH ST,Berkeley,CA,37.870766,-122.295099
15058605,ROBBERY,42281,0.486111111,ROBBERY,0,42287.14598,1200 CARLETON ST,Berkeley,CA,37.858785,-122.28661
15058745,MISSING ADULT,42281,0.375,MISSING PERSON,0,42287.14598,1600 ALCATRAZ AVE,Berkeley,CA,37.848152,-122.275807
15058582,ROBBERY,42281,0.256944444,ROBBERY,0,42287.14598,900 UNIVERSITY AVE,Berkeley,CA,37.868263,-122.29601
15058608,VEHICLE STOLEN,42281,0.041666667,MOTOR VEHICLE THEFT,0,42287.14598,PIEDMONT AVENUE & STUART ST,Berkeley,CA,37.860045,-122.250988
15058656,NARCOTICS,42281,0.708333333,DRUG VIOLATION,0,42287.14598,HEARST AVENUE & MILVIA ST,Berkeley,CA,37.873607,-122.270903
15091826,THEFT FELONY (OVER $950),42281,0.0625,LARCENY,0,42287.146,WARRING STREET & PARKER ST,Berkeley,CA,37.864124,-122.250282
15058779,VEHICLE STOLEN,42281,0.333333333,MOTOR VEHICLE THEFT,0,42287.14598,1800 BERKELEY WAY,Berkeley,CA,37.872166,-122.275372
15058403,FRAUD/FORGERY,42280,0.458333333,FRAUD,6,42287.14598,2100 SHATTUCK AVE,Berkeley,CA,37.871167,-122.268285
15058380,DOMESTIC VIOLENCE,42280,0.319444444,FAMILY OFFENSE,6,42287.14598,1500 JULIA ST,Berkeley,CA,37.854186,-122.279157
15091823,THEFT FELONY (OVER $950),42280,0.576388889,LARCENY,6,42287.146,2100 SHATTUCK AVE,Berkeley,CA,37.871167,-122.268285
15091821,VANDALISM,42280,0.725694444,VANDALISM,6,42287.14598,2100 CHANNING WAY,Berkeley,CA,37.865826,-122.267244
15058471,SUSCIRC- HOMICIDE,42280,0.395833333,SUSPICIOUS,6,42287.14598,1900 BERKELEY WAY,Berkeley,CA,37.87247,-122.273021
15058598,BURGLARY RESIDENTIAL,42280,0.958333333,BURGLARY - RESIDENTIAL,6,42287.14598,2300 PARKER ST,Berkeley,CA,37.862763,-122.262639
15058491,DISTURBANCE,42280,0.788194444,DISORDERLY CONDUCT,6,42287.14598,700 HEARST AVE,Berkeley,CA,37.868663,-122.301325
15091829,THEFT MISD. (UNDER $950),42280,0.604166667,LARCENY,6,42287.146,1200 SAN PABLO AVE,Berkeley,CA,37.882032,-122.296381
15058467,THEFT FELONY (OVER $950),42280,0.583333333,LARCENY,6,42287.14598,2100 SHATTUCK AVE,Berkeley,CA,37.871167,-122.268285
15058441,NARCOTICS,42280,0.609027778,DRUG VIOLATION,6,42287.14598,BERKELEY WAY & SHATTUCK AVE,Berkeley,CA,37.873052,-122.268416
15091828,THEFT MISD. (UNDER $950),42280,0.520833333,LARCENY,6,42287.146,2900 FULTON ST,Berkeley,CA,37.857099,-122.263785
15091819,VANDALISM,42280,0.670138889,VANDALISM,6,42287.14598,3000 COLLEGE AVE,Berkeley,CA,37.855925,-122.252939
15091816,THEFT MISD. (UNDER $950),42280,0.597222222,LARCENY,6,42287.14598,900 PAGE ST,Berkeley,CA,37.876726,-122.298966
15058438,MISSING ADULT,42280,0.489583333,MISSING PERSON,6,42287.14598,2100 CARLETON ST,Berkeley,CA,37.861265,-122.26698
15058594,VANDALISM,42280,0.958333333,VANDALISM,6,42287.14598,1800 FRANKLIN ST,Berkeley,CA,37.872723,-122.285734
15058492,VANDALISM,42280,0.708333333,VANDALISM,6,42287.14598,,Berkeley,CA,37.869058,-122.270455
15058439,NARCOTICS,42280,0.609027778,DRUG VIOLATION,6,42287.14598,SHATTUCK AVENUE & UNIVERSITY AVE,Berkeley,CA,37.872257,-122.267845
15058373,DOMESTIC VIOLENCE,42280,0.277777778,FAMILY OFFENSE,6,42287.14598,3200 IDAHO ST,Berkeley,CA,37.849609,-122.282
15091820,BURGLARY AUTO,42280,0.5,BURGLARY - VEHICLE,6,42287.14598,100 SEAWALL DR,Berkeley,CA,37.863045,-122.317348
15058398,VEHICLE STOLEN,42279,0.999305556,MOTOR VEHICLE THEFT,5,42287.14598,1300 QUEENS RD,Berkeley,CA,37.88588,-122.253359
15058107,DISTURBANCE,42279,0.399305556,DISORDERLY CONDUCT,5,42287.14598,100 TUNNEL RD,Berkeley,CA,37.856013,-122.240374
15058125,ASSAULT/BATTERY MISD.,42279,0.321527778,ASSAULT,5,42287.14598,DWIGHT WAY & TELEGRAPH AVE,Berkeley,CA,37.86506,-122.258939
15058131,THEFT FELONY (OVER $950),42279,0.375,LARCENY,5,42287.14598,900 HEINZ AVE,Berkeley,CA,37.853552,-122.291561
15058263,DOMESTIC VIOLENCE,42279,0.763888889,FAMILY OFFENSE,5,42287.14598,2600 BENVENUE AVE,Berkeley,CA,37.863522,-122.254992
15091815,THEFT MISD. (UNDER $950),42279,0.875,LARCENY,5,42287.14598,2655 TELEGRAPH AVE,Berkeley,CA,37.861974,-122.258841
15091827,THEFT MISD. (UNDER $950),42279,0.885416667,LARCENY,5,42287.146,2300 ROOSEVELT AVE,Berkeley,CA,37.866534,-122.275896
15091830,THEFT MISD. (UNDER $950),42279,0.503472222,LARCENY,5,42287.146,2500 BANCROFT WAY,Berkeley,CA,37.868704,-122.25927
15058499,THEFT FROM AUTO,42279,0,LARCENY - FROM VEHICLE,5,42287.14598,1800 CARLETON ST,Berkeley,CA,37.860386,-122.273725
15058220,BURGLARY AUTO,42279,0.736111111,BURGLARY - VEHICLE,5,42287.14598,1700 FOURTH ST,Berkeley,CA,37.871306,-122.301072
15058312,ASSAULT/BATTERY MISD.,42279,0.951388889,ASSAULT,5,42287.14598,3200 ADELINE ST,Berkeley,CA,37.850399,-122.270893
15058094,VANDALISM,42279,0.3125,VANDALISM,5,42287.14598,2500 DWIGHT WAY,Berkeley,CA,37.865121,-122.258455
15058791,VANDALISM,42279,0.6875,VANDALISM,5,42287.14598,1000 ASHBY AVE,Berkeley,CA,37.851648,-122.28922
15058214,NARCOTICS,42279,0.721527778,DRUG VIOLATION,5,42287.14598,2500 HASTE ST,Berkeley,CA,37.866025,-122.258623
15058110,DISTURBANCE,42279,0.40625,DISORDERLY CONDUCT,5,42287.14598,800 PAGE ST,Berkeley,CA,37.876181,-122.301605
15058198,ROBBERY,42279,0.65625,ROBBERY,5,42287.14598,2900 LINDEN AVE,Berkeley,CA,37.857788,-122.249754
15058251,THEFT MISD. (UNDER $950),42279,0.826388889,LARCENY,5,42287.14598,1800 UNIVERSITY AVE,Berkeley,CA,37.871246,-122.274991
15058996,VEHICLE STOLEN,42279,0.5,MOTOR VEHICLE THEFT,5,42287.14598,1700 ALCATRAZ AVE,Berkeley,CA,37.848534,-122.272999
15058772,ASSAULT/BATTERY MISD.,42279,0.5,ASSAULT,5,42287.14598,2800 ADELINE ST,Berkeley,CA,37.858116,-122.268002
15058219,SEXUAL ASSAULT FEL.,42279,0.65,SEX CRIME,5,42287.14598,1900 ALLSTON WAY,Berkeley,CA,37.868826,-122.272364
15058310,2ND RESPONSE,42279,0.945138889,NOISE VIOLATION,5,42287.14598,2600 REGENT ST,Berkeley,CA,37.863369,-122.257622
15059227,THEFT MISD. (UNDER $950),42279,0.375,LARCENY,5,42287.146,2600 WARRING ST,Berkeley,CA,37.863934,-122.250262
15058284,ROBBERY,42279,0.89375,ROBBERY,5,42287.14598,2500 PIEDMONT AVE,Berkeley,CA,37.865868,-122.251595
15058593,VEHICLE STOLEN,42279,0.583333333,MOTOR VEHICLE THEFT,5,42287.14598,2200 PIEDMONT AVE,Berkeley,CA,37.871716,-122.252796
15058207,NARCOTICS,42279,0.6875,DRUG VIOLATION,5,42287.14598,2500 DWIGHT WAY,Berkeley,CA,37.865121,-122.258455
15058325,NARCOTICS,42279,0.977777778,DRUG VIOLATION,5,42287.14598,BONITA AVENUE & BERKELEY WAY,Berkeley,CA,37.872542,-122.271978
15058097,VANDALISM,42279,0.323611111,VANDALISM,5,42287.14598,2400 TELEGRAPH AVE,Berkeley,CA,37.866919,-122.258812
