Time	Category	Latitude	Longitude
0.229166667	BURGLARY - RESIDENTIAL	37.877148	-122.296932
0.364583333	BURGLARY - VEHICLE	37.865868	-122.251595
0.147222222	LARCENY	37.866259	-122.298334
0.041666667	ASSAULT	37.867513	-122.26127
0.15	BURGLARY - COMMERCIAL	37.871306	-122.301072
0.034722222	ROBBERY	37.870584	-122.27061
0.395833333	MISSING PERSON	37.855267	-122.266696
0.416666667	BURGLARY - VEHICLE	37.863045	-122.317348
0.5	DISORDERLY CONDUCT	37.858433	-122.280183
0.465277778	LARCENY	37.864679	-122.260688
0.609722222	LARCENY	37.853552	-122.291561
0.477083333	DISORDERLY CONDUCT	37.854002	-122.248587
0.474305556	ALL OTHER OFFENSES	37.869041	-122.292204
0.509722222	ASSAULT	37.868714	-122.259189
0.875	LARCENY	37.875707	-122.275816
0.854166667	MOTOR VEHICLE THEFT	37.893954	-122.260697
0.4375	LARCENY	37.878935	-122.293437
0.85625	HOMICIDE	37.85525	-122.277126
0.909722222	LARCENY	37.875707	-122.275816
0.327777778	BURGLARY - VEHICLE	37.874979	-122.29528
0.631944444	LARCENY	37.869057	-122.270463
0.557638889	DISORDERLY CONDUCT	37.866025	-122.258623
0.729166667	BURGLARY - COMMERCIAL	37.881885	-122.260433
0.708333333	LARCENY	37.869057	-122.270463
0	BURGLARY - VEHICLE	37.848357	-122.281521
0.333333333	BURGLARY - VEHICLE	37.858993	-122.244574
0.970833333	SEX CRIME	37.88362	-122.269734
0.398611111	ROBBERY	37.848453	-122.273607
0.819444444	LARCENY	37.867157	-122.2678
0.659722222	FAMILY OFFENSE	37.854747	-122.280361
0.479166667	ASSAULT	37.86581	-122.301707
0.4125	ASSAULT	37.867513	-122.26127
0.583333333	ASSAULT	37.86139	-122.280449
0.833333333	MOTOR VEHICLE THEFT	37.853008	-122.286877
0.801388889	DISORDERLY CONDUCT	37.88205	-122.269454
0.8125	BURGLARY - RESIDENTIAL	37.884779	-122.250288
0.013888889	LARCENY - FROM VEHICLE	37.886247	-122.283606
0.848611111	BURGLARY - VEHICLE	37.880229	-122.295798
0.916666667	LARCENY - FROM VEHICLE	37.881602	-122.286332
0.477777778	LIQUOR LAW VIOLATION	37.88192	-122.269544
0.791666667	BURGLARY - RESIDENTIAL	37.899594	-122.273671
0.520833333	MOTOR VEHICLE THEFT	37.859614	-122.280268
0.09375	BURGLARY - VEHICLE	37.893457	-122.285624
0.663194444	FRAUD	37.869363	-122.268028
0.5	LARCENY	37.867157	-122.2678
0.520833333	FAMILY OFFENSE	37.850091	-122.290607
0.940972222	LARCENY	37.894536	-122.272056
0.822916667	LARCENY	37.864808	-122.287576
0.4375	DISORDERLY CONDUCT	37.856111	-122.260248
0.756944444	BURGLARY - COMMERCIAL	37.869888	-122.300618
0.513888889	BURGLARY - VEHICLE	37.877862	-122.273408
0.770833333	MOTOR VEHICLE THEFT	37.850001	-122.275963
0.125	BURGLARY - RESIDENTIAL	37.894536	-122.272056
0.140277778	FRAUD	37.855982	-122.272388
0.75	LARCENY	37.86316	-122.26655
0.75	FAMILY OFFENSE	37.875957	-122.296546
0.604166667	DISORDERLY CONDUCT	37.870255	-122.298419
0.332638889	ASSAULT	37.873687	-122.268616
0.430555556	LARCENY	37.870766	-122.295099
0.486111111	ROBBERY	37.858785	-122.28661
0.375	MISSING PERSON	37.848152	-122.275807
0.256944444	ROBBERY	37.868263	-122.29601
0.041666667	MOTOR VEHICLE THEFT	37.860045	-122.250988
0.708333333	DRUG VIOLATION	37.873607	-122.270903
0.0625	LARCENY	37.864124	-122.250282
0.333333333	MOTOR VEHICLE THEFT	37.872166	-122.275372
0.458333333	FRAUD	37.871167	-122.268285
0.319444444	FAMILY OFFENSE	37.854186	-122.279157
0.576388889	LARCENY	37.871167	-122.268285
0.725694444	VANDALISM	37.865826	-122.267244
0.395833333	SUSPICIOUS	37.87247	-122.273021
0.958333333	BURGLARY - RESIDENTIAL	37.862763	-122.262639
